,arr_delay,name
62,5.0,Delta Air Lines Inc.
63,2.0,Virgin America
64,-7.0,American Airlines Inc.
65,1.0,JetBlue Airways
66,-6.0,Delta Air Lines Inc.
67,-9.0,United Air Lines Inc.
68,-31.0,United Air Lines Inc.
69,44.0,JetBlue Airways
70,20.0,United Air Lines Inc.
71,-15.0,JetBlue Airways
72,-12.0,American Airlines Inc.
73,21.0,United Air Lines Inc.
74,10.0,AirTran Airways Corporation
75,5.0,JetBlue Airways
76,-4.0,United Air Lines Inc.
77,31.0,American Airlines Inc.
78,-10.0,Alaska Airlines Inc.
79,12.0,American Airlines Inc.
80,7.0,United Air Lines Inc.
81,3.0,United Air Lines Inc.
82,-26.0,Virgin America
83,-1.0,JetBlue Airways
84,2.0,JetBlue Airways
85,30.0,United Air Lines Inc.
86,4.0,JetBlue Airways
87,-26.0,JetBlue Airways
88,-12.0,American Airlines Inc.
89,26.0,United Air Lines Inc.
90,2.0,JetBlue Airways
91,7.0,American Airlines Inc.
92,-11.0,JetBlue Airways
93,3.0,Delta Air Lines Inc.
94,10.0,American Airlines Inc.
95,-10.0,United Air Lines Inc.
96,49.0,Envoy Air
97,-18.0,Delta Air Lines Inc.
98,-4.0,United Air Lines Inc.
99,-4.0,US Airways Inc.
100,-14.0,American Airlines Inc.
101,-2.0,Delta Air Lines Inc.
102,33.0,Southwest Airlines Co.
103,-1.0,JetBlue Airways
104,-30.0,Delta Air Lines Inc.
105,8.0,Delta Air Lines Inc.
106,-6.0,Envoy Air
107,-19.0,JetBlue Airways
108,-22.0,American Airlines Inc.
109,-12.0,United Air Lines Inc.
110,-13.0,Delta Air Lines Inc.
111,10.0,JetBlue Airways
112,12.0,JetBlue Airways
113,-4.0,Envoy Air
114,0.0,Delta Air Lines Inc.
115,-7.0,ExpressJet Airlines Inc.
116,11.0,Endeavor Air Inc.
117,-28.0,Delta Air Lines Inc.
118,-26.0,ExpressJet Airlines Inc.
120,10.0,US Airways Inc.
121,23.0,ExpressJet Airlines Inc.
122,7.0,Delta Air Lines Inc.
123,17.0,AirTran Airways Corporation
124,17.0,JetBlue Airways
125,-16.0,JetBlue Airways
126,-14.0,Delta Air Lines Inc.
127,-40.0,Delta Air Lines Inc.
128,24.0,JetBlue Airways
129,-13.0,Envoy Air
130,-2.0,ExpressJet Airlines Inc.
131,-5.0,US Airways Inc.
132,16.0,United Air Lines Inc.
133,2.0,American Airlines Inc.
134,-7.0,JetBlue Airways
135,51.0,American Airlines Inc.
136,-13.0,United Air Lines Inc.
137,15.0,JetBlue Airways
138,7.0,United Air Lines Inc.
139,-8.0,United Air Lines Inc.
140,-23.0,United Air Lines Inc.
141,3.0,American Airlines Inc.
142,-13.0,Envoy Air
143,-18.0,ExpressJet Airlines Inc.
144,-24.0,Envoy Air
145,32.0,Frontier Airlines Inc.
146,20.0,American Airlines Inc.
147,-8.0,Envoy Air
148,-39.0,American Airlines Inc.
149,-9.0,Delta Air Lines Inc.
150,-27.0,JetBlue Airways
152,19.0,United Air Lines Inc.
153,-4.0,ExpressJet Airlines Inc.
154,-3.0,Delta Air Lines Inc.
155,9.0,United Air Lines Inc.
156,26.0,Southwest Airlines Co.
157,2.0,JetBlue Airways
158,-2.0,Delta Air Lines Inc.
159,6.0,American Airlines Inc.
160,-10.0,Delta Air Lines Inc.
161,-23.0,United Air Lines Inc.
162,-14.0,Hawaiian Airlines Inc.
163,-13.0,Delta Air Lines Inc.
164,-9.0,Delta Air Lines Inc.
165,-25.0,United Air Lines Inc.
166,-8.0,Envoy Air
167,-24.0,Delta Air Lines Inc.
168,-2.0,Virgin America
169,8.0,United Air Lines Inc.
170,3.0,United Air Lines Inc.
171,50.0,Envoy Air
172,-19.0,United Air Lines Inc.
173,40.0,JetBlue Airways
174,9.0,United Air Lines Inc.
175,-7.0,JetBlue Airways
176,-29.0,US Airways Inc.
177,9.0,United Air Lines Inc.
178,16.0,American Airlines Inc.
179,21.0,American Airlines Inc.
180,-7.0,United Air Lines Inc.
181,-30.0,United Air Lines Inc.
182,4.0,American Airlines Inc.
183,15.0,United Air Lines Inc.
184,28.0,American Airlines Inc.
185,-5.0,JetBlue Airways
186,-16.0,JetBlue Airways
187,14.0,JetBlue Airways
188,27.0,Envoy Air
189,10.0,Delta Air Lines Inc.
190,-4.0,JetBlue Airways
191,-17.0,JetBlue Airways
192,2.0,JetBlue Airways
193,13.0,United Air Lines Inc.
194,-26.0,Delta Air Lines Inc.
195,-14.0,ExpressJet Airlines Inc.
196,30.0,Southwest Airlines Co.
197,9.0,United Air Lines Inc.
198,-1.0,JetBlue Airways
199,13.0,United Air Lines Inc.
200,-6.0,Virgin America
201,-5.0,JetBlue Airways
202,42.0,JetBlue Airways
203,15.0,Southwest Airlines Co.
204,-16.0,Delta Air Lines Inc.
205,-12.0,Delta Air Lines Inc.
206,3.0,JetBlue Airways
207,7.0,Southwest Airlines Co.
208,-11.0,American Airlines Inc.
209,6.0,Envoy Air
210,2.0,JetBlue Airways
211,-16.0,ExpressJet Airlines Inc.
212,-17.0,JetBlue Airways
213,13.0,ExpressJet Airlines Inc.
214,12.0,Envoy Air
215,39.0,United Air Lines Inc.
216,11.0,US Airways Inc.
217,0.0,Delta Air Lines Inc.
219,-6.0,Delta Air Lines Inc.
220,-15.0,US Airways Inc.
221,-25.0,JetBlue Airways
222,39.0,US Airways Inc.
223,5.0,United Air Lines Inc.
224,7.0,Envoy Air
225,-10.0,Delta Air Lines Inc.
226,-6.0,US Airways Inc.
227,11.0,US Airways Inc.
228,5.0,ExpressJet Airlines Inc.
229,-21.0,Delta Air Lines Inc.
230,2.0,AirTran Airways Corporation
231,-10.0,ExpressJet Airlines Inc.
232,-11.0,Envoy Air
233,26.0,American Airlines Inc.
234,-4.0,United Air Lines Inc.
235,11.0,American Airlines Inc.
236,11.0,United Air Lines Inc.
237,32.0,American Airlines Inc.
238,-17.0,ExpressJet Airlines Inc.
239,-22.0,Virgin America
240,-11.0,United Air Lines Inc.
241,15.0,ExpressJet Airlines Inc.
242,-6.0,United Air Lines Inc.
243,11.0,American Airlines Inc.
244,21.0,United Air Lines Inc.
245,-1.0,JetBlue Airways
246,19.0,ExpressJet Airlines Inc.
247,1.0,United Air Lines Inc.
248,-11.0,United Air Lines Inc.
249,-6.0,American Airlines Inc.
250,-9.0,Delta Air Lines Inc.
251,12.0,Envoy Air
252,4.0,JetBlue Airways
253,-13.0,Delta Air Lines Inc.
254,-6.0,ExpressJet Airlines Inc.
255,-6.0,Delta Air Lines Inc.
256,-6.0,US Airways Inc.
257,-14.0,Southwest Airlines Co.
258,-5.0,Envoy Air
259,-9.0,United Air Lines Inc.
260,13.0,JetBlue Airways
261,-11.0,Delta Air Lines Inc.
262,23.0,United Air Lines Inc.
263,-5.0,Envoy Air
264,-23.0,American Airlines Inc.
265,-4.0,JetBlue Airways
266,2.0,United Air Lines Inc.
267,3.0,Delta Air Lines Inc.
269,78.0,ExpressJet Airlines Inc.
270,5.0,Southwest Airlines Co.
271,34.0,United Air Lines Inc.
272,4.0,JetBlue Airways
273,0.0,Delta Air Lines Inc.
274,-7.0,US Airways Inc.
275,-6.0,ExpressJet Airlines Inc.
276,16.0,United Air Lines Inc.
277,-4.0,United Air Lines Inc.
278,-15.0,United Air Lines Inc.
279,-4.0,American Airlines Inc.
280,3.0,Delta Air Lines Inc.
281,-6.0,Envoy Air
282,3.0,JetBlue Airways
283,-2.0,Virgin America
284,-16.0,American Airlines Inc.
285,-6.0,Delta Air Lines Inc.
286,5.0,United Air Lines Inc.
287,11.0,ExpressJet Airlines Inc.
288,8.0,AirTran Airways Corporation
289,-12.0,ExpressJet Airlines Inc.
290,9.0,ExpressJet Airlines Inc.
291,29.0,JetBlue Airways
292,-39.0,Delta Air Lines Inc.
293,-13.0,JetBlue Airways
294,22.0,Envoy Air
295,7.0,American Airlines Inc.
296,-12.0,Delta Air Lines Inc.
297,1.0,Delta Air Lines Inc.
298,-3.0,Envoy Air
299,-5.0,ExpressJet Airlines Inc.
300,-3.0,Envoy Air
301,-4.0,United Air Lines Inc.
302,10.0,American Airlines Inc.
303,-4.0,Southwest Airlines Co.
304,7.0,United Air Lines Inc.
305,12.0,US Airways Inc.
306,4.0,ExpressJet Airlines Inc.
307,-8.0,United Air Lines Inc.
308,24.0,ExpressJet Airlines Inc.
309,-26.0,Virgin America
310,12.0,JetBlue Airways
311,-2.0,United Air Lines Inc.
312,-3.0,ExpressJet Airlines Inc.
313,38.0,JetBlue Airways
314,10.0,ExpressJet Airlines Inc.
315,24.0,Envoy Air
316,-4.0,United Air Lines Inc.
317,0.0,American Airlines Inc.
318,-9.0,Delta Air Lines Inc.
319,23.0,Southwest Airlines Co.
320,43.0,ExpressJet Airlines Inc.
321,-6.0,JetBlue Airways
322,27.0,United Air Lines Inc.
323,2.0,ExpressJet Airlines Inc.
324,3.0,Delta Air Lines Inc.
325,-6.0,United Air Lines Inc.
326,-10.0,American Airlines Inc.
327,5.0,Southwest Airlines Co.
328,23.0,ExpressJet Airlines Inc.
329,-6.0,American Airlines Inc.
330,0.0,Envoy Air
331,-13.0,ExpressJet Airlines Inc.
332,1.0,Delta Air Lines Inc.
333,-38.0,Delta Air Lines Inc.
334,36.0,JetBlue Airways
335,0.0,United Air Lines Inc.
336,16.0,JetBlue Airways
337,34.0,American Airlines Inc.
338,48.0,United Air Lines Inc.
339,4.0,Delta Air Lines Inc.
340,5.0,Southwest Airlines Co.
341,81.0,Envoy Air
342,-1.0,US Airways Inc.
343,-8.0,US Airways Inc.
344,-9.0,JetBlue Airways
345,4.0,Envoy Air
346,-5.0,AirTran Airways Corporation
347,19.0,American Airlines Inc.
348,53.0,American Airlines Inc.
349,93.0,Envoy Air
350,26.0,United Air Lines Inc.
351,-2.0,JetBlue Airways
352,-8.0,United Air Lines Inc.
353,56.0,ExpressJet Airlines Inc.
354,12.0,JetBlue Airways
355,3.0,Envoy Air
356,27.0,American Airlines Inc.
357,12.0,Southwest Airlines Co.
358,5.0,JetBlue Airways
359,2.0,US Airways Inc.
360,-10.0,ExpressJet Airlines Inc.
361,-3.0,ExpressJet Airlines Inc.
362,-11.0,Envoy Air
363,-18.0,ExpressJet Airlines Inc.
364,-3.0,JetBlue Airways
365,-11.0,United Air Lines Inc.
366,43.0,Delta Air Lines Inc.
367,1.0,Delta Air Lines Inc.
368,-17.0,Virgin America
369,-5.0,United Air Lines Inc.
370,37.0,ExpressJet Airlines Inc.
371,0.0,JetBlue Airways
372,8.0,ExpressJet Airlines Inc.
373,78.0,JetBlue Airways
374,-23.0,American Airlines Inc.
375,23.0,JetBlue Airways
376,4.0,American Airlines Inc.
377,73.0,ExpressJet Airlines Inc.
378,18.0,American Airlines Inc.
379,21.0,United Air Lines Inc.
380,26.0,Southwest Airlines Co.
381,11.0,ExpressJet Airlines Inc.
382,-14.0,JetBlue Airways
383,-13.0,ExpressJet Airlines Inc.
384,24.0,ExpressJet Airlines Inc.
385,-4.0,ExpressJet Airlines Inc.
386,-22.0,Delta Air Lines Inc.
387,46.0,ExpressJet Airlines Inc.
388,-4.0,JetBlue Airways
389,22.0,Southwest Airlines Co.
390,27.0,Envoy Air
391,60.0,United Air Lines Inc.
392,11.0,United Air Lines Inc.
393,19.0,United Air Lines Inc.
394,27.0,US Airways Inc.
395,103.0,ExpressJet Airlines Inc.
396,-2.0,Delta Air Lines Inc.
397,84.0,ExpressJet Airlines Inc.
398,6.0,AirTran Airways Corporation
399,66.0,JetBlue Airways
400,14.0,United Air Lines Inc.
401,-6.0,United Air Lines Inc.
402,7.0,Envoy Air
403,-18.0,JetBlue Airways
404,26.0,JetBlue Airways
405,-28.0,Delta Air Lines Inc.
406,18.0,Envoy Air
407,-11.0,United Air Lines Inc.
408,-15.0,ExpressJet Airlines Inc.
409,65.0,ExpressJet Airlines Inc.
410,15.0,ExpressJet Airlines Inc.
411,83.0,JetBlue Airways
412,26.0,United Air Lines Inc.
413,-9.0,United Air Lines Inc.
414,5.0,JetBlue Airways
415,11.0,United Air Lines Inc.
416,-8.0,Delta Air Lines Inc.
417,20.0,Delta Air Lines Inc.
418,-15.0,Delta Air Lines Inc.
419,15.0,Delta Air Lines Inc.
420,-27.0,American Airlines Inc.
421,-2.0,ExpressJet Airlines Inc.
422,-10.0,American Airlines Inc.
423,19.0,Envoy Air
424,-22.0,American Airlines Inc.
425,4.0,US Airways Inc.
426,11.0,Envoy Air
427,-2.0,Endeavor Air Inc.
428,-2.0,Endeavor Air Inc.
429,-18.0,JetBlue Airways
430,22.0,Envoy Air
431,-19.0,US Airways Inc.
432,-21.0,ExpressJet Airlines Inc.
433,-1.0,Endeavor Air Inc.
434,-22.0,Delta Air Lines Inc.
435,1.0,JetBlue Airways
436,10.0,JetBlue Airways
437,-17.0,Delta Air Lines Inc.
438,17.0,United Air Lines Inc.
439,17.0,United Air Lines Inc.
440,-17.0,United Air Lines Inc.
441,-4.0,US Airways Inc.
442,3.0,Envoy Air
443,0.0,ExpressJet Airlines Inc.
444,-1.0,United Air Lines Inc.
445,3.0,JetBlue Airways
446,-4.0,United Air Lines Inc.
448,-1.0,Envoy Air
449,18.0,American Airlines Inc.
450,-18.0,United Air Lines Inc.
451,-5.0,Endeavor Air Inc.
452,3.0,Envoy Air
453,26.0,United Air Lines Inc.
454,0.0,JetBlue Airways
455,11.0,Delta Air Lines Inc.
456,-3.0,Delta Air Lines Inc.
457,-18.0,JetBlue Airways
458,11.0,ExpressJet Airlines Inc.
459,5.0,Envoy Air
460,52.0,JetBlue Airways
461,5.0,United Air Lines Inc.
462,60.0,American Airlines Inc.
463,-12.0,Envoy Air
464,1.0,United Air Lines Inc.
465,7.0,Delta Air Lines Inc.
466,6.0,Envoy Air
467,3.0,United Air Lines Inc.
468,3.0,United Air Lines Inc.
469,27.0,JetBlue Airways
472,24.0,Southwest Airlines Co.
473,-14.0,American Airlines Inc.
474,27.0,JetBlue Airways
475,-21.0,JetBlue Airways
476,44.0,United Air Lines Inc.
478,6.0,American Airlines Inc.
479,46.0,United Air Lines Inc.
480,-4.0,US Airways Inc.
481,-5.0,Endeavor Air Inc.
482,34.0,ExpressJet Airlines Inc.
483,47.0,ExpressJet Airlines Inc.
484,19.0,United Air Lines Inc.
485,20.0,ExpressJet Airlines Inc.
486,19.0,Southwest Airlines Co.
487,-24.0,Delta Air Lines Inc.
488,-6.0,American Airlines Inc.
489,-17.0,American Airlines Inc.
490,35.0,United Air Lines Inc.
491,115.0,JetBlue Airways
492,-21.0,Delta Air Lines Inc.
493,8.0,Delta Air Lines Inc.
494,-2.0,United Air Lines Inc.
495,5.0,Endeavor Air Inc.
496,8.0,Delta Air Lines Inc.
497,91.0,Envoy Air
499,-8.0,United Air Lines Inc.
500,13.0,Endeavor Air Inc.
501,12.0,ExpressJet Airlines Inc.
502,6.0,AirTran Airways Corporation
503,-8.0,Endeavor Air Inc.
504,18.0,American Airlines Inc.
505,-33.0,Endeavor Air Inc.
506,16.0,Delta Air Lines Inc.
507,10.0,Envoy Air
508,-2.0,ExpressJet Airlines Inc.
509,-29.0,Delta Air Lines Inc.
510,4.0,United Air Lines Inc.
511,65.0,ExpressJet Airlines Inc.
513,7.0,JetBlue Airways
514,-28.0,Delta Air Lines Inc.
515,-17.0,Endeavor Air Inc.
516,15.0,United Air Lines Inc.
517,-4.0,Delta Air Lines Inc.
518,12.0,ExpressJet Airlines Inc.
519,12.0,JetBlue Airways
520,9.0,Southwest Airlines Co.
521,28.0,Envoy Air
522,6.0,United Air Lines Inc.
523,67.0,Envoy Air
524,4.0,American Airlines Inc.
525,20.0,JetBlue Airways
526,78.0,United Air Lines Inc.
527,72.0,American Airlines Inc.
528,28.0,American Airlines Inc.
529,-23.0,JetBlue Airways
530,-35.0,Delta Air Lines Inc.
531,-3.0,Delta Air Lines Inc.
532,18.0,Delta Air Lines Inc.
533,29.0,United Air Lines Inc.
534,20.0,ExpressJet Airlines Inc.
535,17.0,Envoy Air
536,23.0,United Air Lines Inc.
537,34.0,Delta Air Lines Inc.
538,3.0,US Airways Inc.
539,4.0,American Airlines Inc.
540,15.0,JetBlue Airways
541,2.0,Delta Air Lines Inc.
542,80.0,JetBlue Airways
543,-40.0,Virgin America
544,59.0,ExpressJet Airlines Inc.
545,-16.0,Delta Air Lines Inc.
546,67.0,ExpressJet Airlines Inc.
547,-30.0,JetBlue Airways
548,13.0,ExpressJet Airlines Inc.
549,-4.0,US Airways Inc.
550,-15.0,United Air Lines Inc.
551,23.0,Southwest Airlines Co.
552,14.0,Envoy Air
553,21.0,United Air Lines Inc.
554,20.0,United Air Lines Inc.
555,-8.0,JetBlue Airways
556,39.0,Endeavor Air Inc.
557,96.0,ExpressJet Airlines Inc.
558,9.0,Envoy Air
559,-34.0,American Airlines Inc.
560,25.0,United Air Lines Inc.
561,16.0,ExpressJet Airlines Inc.
562,26.0,ExpressJet Airlines Inc.
563,56.0,JetBlue Airways
564,-4.0,JetBlue Airways
565,35.0,American Airlines Inc.
566,-13.0,Delta Air Lines Inc.
567,-1.0,ExpressJet Airlines Inc.
568,-14.0,Delta Air Lines Inc.
569,40.0,ExpressJet Airlines Inc.
570,3.0,American Airlines Inc.
571,-22.0,Delta Air Lines Inc.
572,-5.0,Virgin America
573,-14.0,American Airlines Inc.
574,41.0,Southwest Airlines Co.
575,22.0,United Air Lines Inc.
576,-32.0,Envoy Air
577,11.0,American Airlines Inc.
578,16.0,United Air Lines Inc.
579,16.0,United Air Lines Inc.
580,44.0,American Airlines Inc.
581,9.0,US Airways Inc.
582,-12.0,Delta Air Lines Inc.
583,6.0,United Air Lines Inc.
584,32.0,Southwest Airlines Co.
585,14.0,ExpressJet Airlines Inc.
586,33.0,JetBlue Airways
587,68.0,JetBlue Airways
588,-19.0,United Air Lines Inc.
589,6.0,United Air Lines Inc.
590,-8.0,JetBlue Airways
591,0.0,American Airlines Inc.
592,-6.0,Frontier Airlines Inc.
593,61.0,JetBlue Airways
594,16.0,United Air Lines Inc.
595,10.0,American Airlines Inc.
596,-7.0,JetBlue Airways
597,3.0,Envoy Air
598,16.0,Delta Air Lines Inc.
599,3.0,US Airways Inc.
600,24.0,United Air Lines Inc.
601,4.0,American Airlines Inc.
602,-18.0,United Air Lines Inc.
603,3.0,American Airlines Inc.
604,107.0,ExpressJet Airlines Inc.
605,-3.0,United Air Lines Inc.
606,14.0,AirTran Airways Corporation
607,16.0,JetBlue Airways
608,-19.0,United Air Lines Inc.
610,46.0,JetBlue Airways
611,-12.0,JetBlue Airways
612,3.0,Delta Air Lines Inc.
613,-21.0,Delta Air Lines Inc.
614,68.0,Delta Air Lines Inc.
616,-24.0,Delta Air Lines Inc.
617,66.0,Endeavor Air Inc.
618,-2.0,JetBlue Airways
619,27.0,JetBlue Airways
620,-4.0,Delta Air Lines Inc.
621,10.0,Southwest Airlines Co.
622,34.0,JetBlue Airways
623,-6.0,United Air Lines Inc.
624,4.0,JetBlue Airways
625,65.0,Southwest Airlines Co.
626,21.0,JetBlue Airways
627,17.0,United Air Lines Inc.
628,51.0,ExpressJet Airlines Inc.
629,-15.0,Delta Air Lines Inc.
630,-12.0,JetBlue Airways
631,-5.0,JetBlue Airways
632,37.0,United Air Lines Inc.
633,8.0,ExpressJet Airlines Inc.
634,-6.0,JetBlue Airways
635,-3.0,United Air Lines Inc.
636,-14.0,Delta Air Lines Inc.
637,-12.0,United Air Lines Inc.
638,37.0,ExpressJet Airlines Inc.
640,20.0,US Airways Inc.
641,-2.0,United Air Lines Inc.
642,17.0,Envoy Air
644,-19.0,Alaska Airlines Inc.
645,-15.0,JetBlue Airways
646,14.0,United Air Lines Inc.
647,116.0,ExpressJet Airlines Inc.
648,-29.0,JetBlue Airways
650,8.0,Southwest Airlines Co.
651,18.0,Envoy Air
652,11.0,United Air Lines Inc.
653,3.0,American Airlines Inc.
654,26.0,American Airlines Inc.
655,-19.0,Delta Air Lines Inc.
656,-2.0,American Airlines Inc.
657,3.0,Endeavor Air Inc.
658,14.0,US Airways Inc.
659,2.0,American Airlines Inc.
660,-13.0,Delta Air Lines Inc.
661,9.0,United Air Lines Inc.
662,32.0,ExpressJet Airlines Inc.
663,6.0,United Air Lines Inc.
664,8.0,ExpressJet Airlines Inc.
665,-4.0,Endeavor Air Inc.
666,0.0,United Air Lines Inc.
667,7.0,Envoy Air
668,32.0,United Air Lines Inc.
669,94.0,ExpressJet Airlines Inc.
670,12.0,JetBlue Airways
671,25.0,Envoy Air
672,-3.0,United Air Lines Inc.
674,8.0,United Air Lines Inc.
675,2.0,American Airlines Inc.
676,-29.0,Delta Air Lines Inc.
677,-7.0,Delta Air Lines Inc.
678,52.0,American Airlines Inc.
679,-19.0,American Airlines Inc.
680,78.0,American Airlines Inc.
681,2.0,AirTran Airways Corporation
682,-9.0,ExpressJet Airlines Inc.
683,1.0,Endeavor Air Inc.
684,9.0,Virgin America
685,-14.0,US Airways Inc.
686,40.0,Envoy Air
687,-5.0,Delta Air Lines Inc.
688,3.0,United Air Lines Inc.
690,-22.0,JetBlue Airways
691,0.0,Delta Air Lines Inc.
692,-1.0,Southwest Airlines Co.
693,-9.0,ExpressJet Airlines Inc.
694,-47.0,Delta Air Lines Inc.
695,-15.0,JetBlue Airways
696,-48.0,Delta Air Lines Inc.
697,-11.0,United Air Lines Inc.
698,10.0,Delta Air Lines Inc.
699,-33.0,Delta Air Lines Inc.
700,2.0,JetBlue Airways
701,-12.0,Delta Air Lines Inc.
702,40.0,ExpressJet Airlines Inc.
703,19.0,Endeavor Air Inc.
704,15.0,US Airways Inc.
705,-5.0,Envoy Air
706,-19.0,Delta Air Lines Inc.
707,-15.0,United Air Lines Inc.
708,-19.0,Delta Air Lines Inc.
709,-4.0,United Air Lines Inc.
710,-7.0,American Airlines Inc.
711,18.0,ExpressJet Airlines Inc.
712,-4.0,Delta Air Lines Inc.
713,54.0,ExpressJet Airlines Inc.
714,5.0,JetBlue Airways
715,-13.0,ExpressJet Airlines Inc.
716,21.0,Delta Air Lines Inc.
717,43.0,American Airlines Inc.
718,-18.0,Endeavor Air Inc.
719,-4.0,United Air Lines Inc.
720,81.0,Delta Air Lines Inc.
722,40.0,ExpressJet Airlines Inc.
723,25.0,American Airlines Inc.
726,-2.0,American Airlines Inc.
727,12.0,United Air Lines Inc.
728,-10.0,JetBlue Airways
730,16.0,Endeavor Air Inc.
731,14.0,ExpressJet Airlines Inc.
732,44.0,JetBlue Airways
734,-11.0,Virgin America
735,6.0,United Air Lines Inc.
736,-6.0,Endeavor Air Inc.
737,-26.0,Endeavor Air Inc.
738,-22.0,JetBlue Airways
739,11.0,United Air Lines Inc.
740,25.0,Delta Air Lines Inc.
741,3.0,United Air Lines Inc.
742,75.0,ExpressJet Airlines Inc.
743,-16.0,Endeavor Air Inc.
744,-4.0,American Airlines Inc.
745,-9.0,United Air Lines Inc.
747,2.0,United Air Lines Inc.
748,83.0,Envoy Air
749,-4.0,Envoy Air
751,-4.0,United Air Lines Inc.
752,-10.0,American Airlines Inc.
753,5.0,Endeavor Air Inc.
755,50.0,Envoy Air
756,47.0,Endeavor Air Inc.
757,-3.0,JetBlue Airways
758,-10.0,United Air Lines Inc.
759,-7.0,AirTran Airways Corporation
760,10.0,JetBlue Airways
761,34.0,Endeavor Air Inc.
762,91.0,JetBlue Airways
763,-14.0,Delta Air Lines Inc.
764,7.0,United Air Lines Inc.
765,24.0,ExpressJet Airlines Inc.
766,50.0,JetBlue Airways
767,45.0,Southwest Airlines Co.
768,-7.0,ExpressJet Airlines Inc.
769,-35.0,American Airlines Inc.
770,12.0,JetBlue Airways
771,10.0,JetBlue Airways
772,9.0,United Air Lines Inc.
773,-17.0,United Air Lines Inc.
774,-28.0,United Air Lines Inc.
775,34.0,ExpressJet Airlines Inc.
776,3.0,JetBlue Airways
777,-29.0,Endeavor Air Inc.
778,-28.0,United Air Lines Inc.
779,45.0,Envoy Air
780,-1.0,JetBlue Airways
781,-2.0,JetBlue Airways
782,4.0,Envoy Air
783,-5.0,United Air Lines Inc.
784,44.0,ExpressJet Airlines Inc.
785,61.0,ExpressJet Airlines Inc.
786,-6.0,JetBlue Airways
787,5.0,Envoy Air
788,17.0,Envoy Air
789,25.0,ExpressJet Airlines Inc.
790,5.0,Southwest Airlines Co.
791,9.0,United Air Lines Inc.
792,17.0,Envoy Air
793,-6.0,JetBlue Airways
794,-12.0,United Air Lines Inc.
795,-32.0,Delta Air Lines Inc.
796,-5.0,JetBlue Airways
797,-14.0,United Air Lines Inc.
798,-6.0,JetBlue Airways
799,55.0,Envoy Air
800,17.0,ExpressJet Airlines Inc.
802,-10.0,ExpressJet Airlines Inc.
804,-2.0,JetBlue Airways
805,43.0,JetBlue Airways
806,22.0,Envoy Air
807,-24.0,American Airlines Inc.
808,3.0,Envoy Air
809,-9.0,JetBlue Airways
810,28.0,United Air Lines Inc.
811,-14.0,JetBlue Airways
812,-14.0,JetBlue Airways
813,2.0,JetBlue Airways
814,-13.0,ExpressJet Airlines Inc.
816,21.0,JetBlue Airways
817,23.0,JetBlue Airways
818,28.0,JetBlue Airways
819,-26.0,JetBlue Airways
820,73.0,JetBlue Airways
822,8.0,ExpressJet Airlines Inc.
823,49.0,JetBlue Airways
824,-16.0,JetBlue Airways
825,-7.0,JetBlue Airways
826,49.0,ExpressJet Airlines Inc.
827,23.0,JetBlue Airways
828,35.0,JetBlue Airways
829,9.0,JetBlue Airways
831,69.0,ExpressJet Airlines Inc.
832,73.0,JetBlue Airways
833,33.0,JetBlue Airways
835,-20.0,JetBlue Airways
836,-24.0,JetBlue Airways
837,-12.0,JetBlue Airways
842,36.0,JetBlue Airways
844,13.0,US Airways Inc.
